Resource ID,Resource,Previous For groups,Reviewed For groups,Changed,Decision note
res-washington-county-library-early-literacy,"Washington County Library 1,000 Books Before Kindergarten and St. George story times",Families with children; Children & teens,Families with children; Children & teens,No,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-wcsd-at-risk-mckinney-vento,Washington County School District At-Risk Support Services / McKinney-Vento student supports and school transportation,Children & teens; People experiencing homelessness,Families with children; Children & teens; People experiencing homelessness; Students,Yes,Migratory children may move within the US; do not infer immigration status.
res-wcsd-child-find-special-education-preschool,Washington County School District Child Find and Early Childhood Special Education Preschool,Children & teens; People with disabilities,Families with children; Children & teens; Young adults; People with disabilities; Deaf & hard of hearing; Blind & low vision; Students,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-wcsd-child-nutrition-school-meals,Washington County School District Child Nutrition school meals and summer lunch,Students,Families with children; Children & teens; People with disabilities; Low-income households; Students,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-wcsd-district-preschool,Washington County School District District Preschool,Children & teens,Families with children; Children & teens; Students,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-wcsd-title-i-family-centers,Washington County School District Title I Family Centers,Families with children; Children & teens,Families with children; Children & teens; Caregivers; Students,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-waterford-upstart-washington-county,Waterford Upstart Washington County at-home kindergarten-readiness program and technology support,Families with children; Children & teens,Families with children; Children & teens; Caregivers,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-youth-futures-st-george-youth-shelter-drop-in,"Youth Futures St. George emergency youth shelter, drop-in services, computer access, and transportation support",Children & teens; People experiencing homelessness,Families with children; Children & teens; People experiencing homelessness,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-red-cross-utah-disaster-assistance,American Red Cross of Utah home-fire and disaster immediate assistance and recovery support,,,No,Disaster-triggered assistance; no specific catalog population or actual displacement requirement is established.
res-chabad-southern-utah-emergency-fund,Chabad Jewish Community Center of Southern Utah Short Term Emergency Fund,,,No,Case-by-case emergency aid; no child-specific or income-based eligibility is established.
res-deseret-industries-st-george-bishops-orders,Deseret Industries St. George bishop-approved clothing and household orders,,,No,Approved needs-based order or public thrift shopping; no catalog population restriction or explicit income threshold is established.
res-five-county-cap-rapid-rehousing-toolkits,"Five County AOG Community Action Partnership coordinated entry, rapid rehousing, diversion, utility deposits, and housing assistance",Veterans & military families; People experiencing homelessness; Low-income households,People experiencing homelessness; Low-income households,Yes,"Veterans may use the general pathway, but the record only advises asking about separately administered VA programs; no dedicated veteran service is established here."
res-five-county-aog-weatherization-assistance,Five County AOG Weatherization Assistance Program,Low-income households,Immigrants & refugees; Low-income households,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-futures-through-training-farmworker-basic-needs,"Futures Through Training Utah Farmworker Program employment, training, and basic-needs support",,Low-income households,Yes,Farmworker status does not establish immigrant status; income is part of program screening.
res-holding-out-help-southern-utah-basic-needs,"Holding Out HELP Southern Utah transition, housing-resource, therapy, and basic-needs support",,,No,"The specific population is people leaving polygamous/high-control communities. None of the 25 labels follows solely from that background; no explicit survivor, child or income criteria appear."
res-intermountain-stgeorge-patient-supplies,"Intermountain Health St. George Regional Hospital patient clothing, blankets, and hygiene supplies",,Families with children; Children & teens,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-manos-amigas-utah-emergency-basic-needs,Manos Amigas Utah Southern Utah immigrant detention/deportation support and emergency aid,Immigrants & refugees; Spanish-speaking people,Immigrants & refugees; Spanish-speaking people; Families with children; Children & teens,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-momivate-st-george-revolving-closet,Momivate St. George Revolving Closet,Families with children; Children & teens; Pregnant & postpartum people,Families with children; Children & teens; Pregnant & postpartum people,No,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-root-for-kids-warm-coats-new-shoes-giveaway-day,Root for Kids Warm Coats + New Shoes Giveaway Day,Families with children,Families with children; Children & teens,Yes,"Child-family event is identified, but next date and enrollment restrictions remain unconfirmed."
res-saint-george-catholic-thrift-store-vouchers,Saint George Catholic Church Thrift Store vouchers,,,No,Need-based vouchers without a documented income rule; no specific population established.
res-switchpoint-thrift-store-affordable-goods,Switchpoint Thrift Store affordable clothing and household goods,,,No,"Reviewed against all 25 definitions: the saved record supports broad public/adult access, without an established population-specific service or accommodation."
res-switchpoint-welcome-home-move-in-kits,Switchpoint Welcome Home move-in household kits,People experiencing homelessness,People experiencing homelessness,No,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-american-legion-tfa-children-basic-needs,American Legion Temporary Financial Assistance for children's basic needs - Post 90 access,Veterans & military families; Children & teens,Veterans & military families; Children & teens; Families with children,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-christmas-box-resource-room-st-george,The Christmas Box International St. George Christmas Box Resource Room,Children & teens; Young adults; People experiencing homelessness; Foster & kinship families,Children & teens; Young adults; People experiencing homelessness; Foster & kinship families; Families with children,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-lds-bishops-storehouse-st-george-basic-goods,The Church of Jesus Christ bishop-referred fast-offering and storehouse assistance,,,No,Discretionary essential-needs assistance; no explicit income restriction or specific population in this record.
res-salvation-army-mobile-outreach-washington-county,The Salvation Army Mobile Outreach and Engagement Program - Washington County,People experiencing homelessness,People experiencing homelessness,No,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-utah-dws-st-george-work-clothing-supportive-services,"Utah DWS St. George career, education, and supportive services",Young adults; Foster & kinship families,Young adults; Foster & kinship families; Families with children; Children & teens; Veterans & military families; Low-income households,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-uovc-crime-victim-compensation-property-relocation,Utah Office for Victims of Crime victim compensation for crime-related expenses,Abuse & violence survivors,Abuse & violence survivors,No,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-shop-with-a-cop-washington-county-hurricane,Shop with a Cop Washington County / Hurricane seasonal child clothing and school-supply events,Children & teens,Children & teens; Families with children; Students,Yes,School-age children and student nomination pathway are explicit; no published means test.
res-usor-vr-st-george-employment-supports,"Utah State Office of Rehabilitation Vocational Rehabilitation - St. George employment, training, restoration, and transportation supports",People with disabilities,People with disabilities,No,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-utah-tech-career-services-career-closet,Utah Tech University Career Services Career Closet,Students,Students,No,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-abby-lou-foundation-disability-support,"Abby Lou Foundation disability advocacy, legal support, grants, and gap loans",Children & teens; People with disabilities,Children & teens; People with disabilities; Families with children,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-abby-lou-services-dspd,Abby Lou Services DSPD-funded host homes and community-based day program,People with disabilities,People with disabilities,No,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-ability-found-equipment-placement,Ability Found Equipment Placement Program,,People with disabilities,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-able-utah-savings-accounts,ABLE Utah Savings Accounts,People with disabilities,People with disabilities,No,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-acumen-utah-dspd-fiscal-agent,Acumen Fiscal Agent Utah DSPD Self-Administered Services fiscal agent,,People with disabilities,Yes,DSPD participant administration; not a general caregiver agency.
res-adelfos-dspd-support-coordination,Adelfos DSPD support coordination,,People with disabilities,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-als-united-rocky-mountain-care-services,ALS United Rocky Mountain care services for people with ALS,Caregivers,Caregivers; People with disabilities; People with serious illness,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-alzheimers-association-utah-dementia-support,"Alzheimer's Association Utah Chapter dementia helpline, education, and caregiver support",Caregivers; People with serious illness,Caregivers; People with serious illness; People with disabilities,Yes,Dementia support does not establish an age restriction.
res-angels-hands-foundation-medical-equipment-assistance,Angel's Hands Foundation medical and adaptive-equipment assistance for rare or undiagnosed conditions,,Families with children; Children & teens; People with disabilities; Caregivers; People with serious illness,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-autism-therapy-services-st-george,Autism Therapy Services St. George ABA and autism evaluation services,People with disabilities,People with disabilities,No,"Family-facing autism route, but child age range is explicitly unconfirmed."
res-barnes-disability-advocates-st-george,"Barnes Disability Advocates St. George SSI, SSDI, and long-term disability representation",People with disabilities,People with disabilities,No,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-beehive-homes-st-george-waiver-care,"BeeHive Homes of St. George assisted living, memory care, respite, and waiver access",Seniors; Caregivers; People with serious illness,Seniors; Caregivers; People with serious illness; People with disabilities,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-best-buddies-ebuddies,Best Buddies e-Buddies online friendship program,People with disabilities,People with disabilities,No,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-brain-injury-alliance-utah-resource-facilitation,Brain Injury Alliance of Utah resource facilitation and brain-injury support,People with disabilities; Caregivers,People with disabilities; Caregivers; People with serious illness,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-carelinks-aba-st-george,Carelinks ABA in-home autism therapy - St. George,Children & teens; Young adults; People with disabilities,Children & teens; Young adults; People with disabilities; Families with children; Caregivers,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-children-first-csos,Children First Education Fund Carson Smith Opportunity Scholarship,Children & teens; People with disabilities; Students,Children & teens; People with disabilities; Students; Families with children,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-children-of-hope-academy,Children of Hope Academy special-needs school and parent support,Families with children; Children & teens; Students,Families with children; Children & teens; Students; People with disabilities; Caregivers,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-suntran-ada-paratransit,"City of St. George SunTran fixed-route bus, Zion Route, and ADA paratransit",Seniors; People with disabilities,Seniors; People with disabilities,No,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-st-george-care-club,City of St. George The CARE Club adaptive recreation,People with disabilities,People with disabilities; Families with children; Children & teens,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-thunder-junction-all-abilities-park,Thunder Junction All Abilities Park and Awareness Days,People with disabilities; Caregivers,People with disabilities; Caregivers; Families with children; Children & teens,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-creativity-patience-speech-aac,Creativity and Patience Center speech therapy and AAC support,Children & teens,Children & teens; Families with children; People with disabilities,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-crimson-heights-st-george-disability-behavioral-supports,"Crimson Heights Behavioral Health St. George day treatment, outpatient, autism, and adult skills supports",People with disabilities,People with disabilities; Families with children; Children & teens,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-danville-services-utah-st-george,"Danville Services of Utah St. George disability residential, employment, and community supports",People with disabilities,People with disabilities,No,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-dental-lifeline-utah-dds,Dental Lifeline Network Utah Donated Dental Services,Seniors; People with disabilities; Low-income households,Seniors; People with disabilities; Low-income households,No,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-deseret-industries-st-george-job-training,Deseret Industries St. George job training and development program,,Families with children; Children & teens,Yes,Minors explicitly eligible; possible fit after jail does not establish a dedicated justice pathway.
res-easterseals-goodwill-scsep-st-george,Easterseals-Goodwill Northern Rocky Mountain SCSEP - St. George,Veterans & military families; Seniors; People with disabilities; People experiencing homelessness; Low-income households,Veterans & military families; Seniors; People with disabilities; People experiencing homelessness; Low-income households; People leaving incarceration,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-encore-performing-arts-accessible-performances,Encore Performing Arts sensory-friendly and ASL-interpreted performances,People with disabilities; Deaf & hard of hearing,People with disabilities; Deaf & hard of hearing; Families with children; Children & teens,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-family-matters-services-utah-dspd-in-home-supports,Family Matters Services DSPD-contracted in-home disability supports,Seniors; People with disabilities,Seniors; People with disabilities; Families with children; Children & teens,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-five-county-aaa-benefits-access-ship-smp,"Five County Area Agency on Aging Benefits Access, SHIP, and SMP",Seniors; People with disabilities; Caregivers,Seniors; People with disabilities; Caregivers; Low-income households,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-five-county-aaa-caregiver-support,Five County Area Agency on Aging National Family Caregiver Support Program,Seniors; Children & teens; People with disabilities; Caregivers; People with serious illness,Seniors; Children & teens; People with disabilities; Caregivers; People with serious illness; Families with children,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-five-county-aaa-in-home-services-aging-waiver,"Five County Area Agency on Aging in-home services, Aging Waiver, Alternatives, Veteran Directed Care, and plan-authorized transportation",Veterans & military families; Seniors; Caregivers,Veterans & military families; Seniors; Caregivers; People with disabilities; Low-income households,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-five-county-aaa-long-term-care-ombudsman,Five County Area Agency on Aging Long-Term Care Ombudsman Program,,Abuse & violence survivors,Yes,Facility-resident rights route includes abuse complaints; residence alone does not establish senior age or disability.
res-gcs-foundation-social-security-payee-services,GCS Foundation Social Security representative payee services,People with disabilities,People with disabilities,No,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-guardianship-associates-utah-guardianship-training,Guardianship Associates of Utah guardianship and pro se training,People with disabilities,People with disabilities; Caregivers,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-habitat-southwest-utah-home-preservation,Habitat for Humanity of Southwest Utah Home Preservation repair program,People with disabilities,People with disabilities; Seniors; Low-income households,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-hurricane-recreation-adaptive-programs,Hurricane Recreation adaptive sports and Kids Club,Children & teens; People with disabilities,Children & teens; People with disabilities; Families with children,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-icanconnect-utah-deafblind-equipment,iCanConnect Utah deafblind communication equipment program,People with disabilities; Deaf & hard of hearing; Blind & low vision; Low-income households,People with disabilities; Deaf & hard of hearing; Blind & low vision; Low-income households,No,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-innovative-harbor-st-george-disability-supports,Innovative Harbor St. George disability support services,People with disabilities,People with disabilities,No,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-intermountain-stgeorge-neuro-stroke-support-group,Intermountain Health St. George Neuro / Stroke Recovery Support Group,Caregivers,Caregivers; People with disabilities; People with serious illness,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-intermountain-stgeorge-inpatient-rehabilitation,Intermountain Health St. George Regional Hospital Inpatient Rehabilitation Unit and RAMMP peer mentorship,People with disabilities,People with disabilities; People with serious illness,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-jeanettas-job-coaching-crp,Jeanetta's Job Coaching USOR-approved Community Rehabilitation Program,,People with disabilities,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-camp-k-disability-recreation-respite,"Kostopulos Dream Foundation Camp K disability recreation, camps, and respite",Children & teens; People with disabilities; Caregivers,Children & teens; People with disabilities; Caregivers; Families with children,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-loving-angel-service-dogs,Loving Angel Service Dogs public-access service dog training and placement,People with disabilities,People with disabilities; People with serious illness,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-utah-medicaid-nemt-modivcare,"Utah Medicaid Non-Emergency Medical Transportation, Modivcare rides, and mileage reimbursement",,Low-income households,Yes,A Medicaid benefit route; mobility evaluation should be confirmed and is not a separate disability eligibility statement.
res-nacd-st-george-evaluations,National Association for Child Development St. George evaluations and home program coaching,Children & teens,Children & teens; Families with children; People with disabilities; Caregivers,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-nfb-utah-red-rocks-chapter,National Federation of the Blind of Utah Red Rocks Chapter,Children & teens; Blind & low vision; People with disabilities,Children & teens; Blind & low vision; People with disabilities; Families with children; Seniors,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-national-ms-society-ms-navigator,National MS Society MS Navigator support,People with serious illness,People with serious illness; People with disabilities; Caregivers,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-federal-access-pass-permanent-disability,America the Beautiful Access Pass for permanent disabilities,People with disabilities,People with disabilities; Families with children; Children & teens,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-north-eastern-services-st-george,North Eastern Services Utah St. George developmental-disability supports,People with disabilities,People with disabilities,No,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-olive-osmond-hearing-fund-here2hear,Olive Osmond Hearing Fund Here 2 Hear hearing aid assistance,Deaf & hard of hearing; People with disabilities,Deaf & hard of hearing; People with disabilities; Low-income households,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-oppo-allies-supported-employment,OPPO / ALLIES Supported Employment - Washington County CRP coverage,People with disabilities,People with disabilities,No,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-red-rock-pediatric-therapies,"Red Rock Pediatric Therapies pediatric speech, occupational, feeding, and AAC therapy",Children & teens,Children & teens; Families with children; People with disabilities,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-redhead-supports-dspd-disability-services,Redhead Supports DSPD-funded disability services with enrolled-program transportation,Families with children; Children & teens; People with disabilities; Caregivers,Families with children; Children & teens; People with disabilities; Caregivers,No,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-relay-utah-telecommunications-equipment,Relay Utah Telecommunications Equipment Distribution Program,Low-income households,Low-income households; People with disabilities; Deaf & hard of hearing; Blind & low vision,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-sego-lily-abused-deaf-st-george-support,"Sego Lily Center for the Abused Deaf St. George support, advocacy, and legal-resource navigation",Deaf & hard of hearing; Abuse & violence survivors; People with disabilities,Deaf & hard of hearing; Abuse & violence survivors; People with disabilities; Blind & low vision,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-sertoma-hearing-aid-project,Sertoma Hearing Aid Project,,People with disabilities; Deaf & hard of hearing; Low-income households; Uninsured & underinsured,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-social-security-disability-benefits-st-george-access,"Social Security benefits, retirement, SSI, Medicare, Extra Help, appeals, and Saint George office access",Seniors; People with disabilities; Blind & low vision; People experiencing homelessness,Seniors; People with disabilities; Blind & low vision; People experiencing homelessness; Low-income households; People with serious illness,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-southern-utah-adaptive-sports,Southern Utah Adaptive Sports adaptive golf and cycling,Veterans & military families; People with disabilities,Veterans & military families; People with disabilities; Families with children; Children & teens,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-southwest-adaptive-divers,Southwest Adaptive Divers adaptive scuba training and scholarships,People with disabilities; Deaf & hard of hearing,People with disabilities; Deaf & hard of hearing; Blind & low vision; People with serious illness,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-sbhc-elev8-clubhouse-adult-skills-supported-employment,"Southwest Behavioral Health Center Elev8 Clubhouse, adult skills, education support, and supported employment",,People with disabilities; People with serious illness,Yes,Mental-health recovery is not substance-use recovery.
res-special-olympics-utah-south-area-athlete-participation,Special Olympics Utah South Area athlete participation and team matching,Children & teens; People with disabilities,Children & teens; People with disabilities; Families with children,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-st-george-housing-authority-section-8-public-housing,"St. George Housing Authority housing, rental-assistance inquiry, and homeless document-verification access",Veterans & military families; Seniors; People experiencing homelessness; Low-income households,Veterans & military families; Seniors; People experiencing homelessness; Low-income households; Abuse & violence survivors,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-sunrise-oasis-academy-reading-dyslexia-microschool,Sunrise Oasis Academy of Reading dyslexia microschool,Children & teens,Children & teens; Families with children; People with disabilities; Students,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-techieforlife-neurodev-mentoring-st-george,TechieForLife / NeuroDev Mentoring Belong to Become program,Young adults; People with disabilities,Young adults; People with disabilities; Students,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-tender-mercies-disability-grants,Tender Mercies disability grants and assistance,Families with children; Children & teens; People with disabilities,Families with children; Children & teens; People with disabilities; Caregivers,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-abilityis-work-activity-center-pooled-trust,AbilityIS Work Activity Center Pooled Trust,People with disabilities,People with disabilities,No,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-turn-utah-pooled-trust,TURN Community Services Utah Pooled Trust,People with disabilities,People with disabilities,No,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-usda-section-504-home-repair-loans-grants-utah,USDA Section 504 Home Repair Loans and Grants - Utah rural access,Seniors; Low-income households,Seniors; Low-income households; People with disabilities,Yes,"Explicit accessibility-repair support, with rural and financial eligibility still required."
res-va-disability-housing-hisa-sah-sha-grants,VA adapted-housing and HISA home-modification grants,Veterans & military families; People with disabilities; Blind & low vision,Veterans & military families; People with disabilities; Blind & low vision,No,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-va-salt-lake-caregiver-support-st-george,VA Salt Lake City Caregiver Support Program - St. George VA Clinic access,Veterans & military families; Caregivers,Veterans & military families; Caregivers,No,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-unique-support-coordination-dspd,Unique Support Coordination DSPD support coordination,People with disabilities,People with disabilities,No,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-uofu-driving-rehabilitation-sugar-house,University of Utah Health Driving Rehabilitation Program at Sugar House,People with disabilities,People with disabilities; Blind & low vision; People with serious illness,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-uofu-trails-adaptive-sci-support,University of Utah Health TRAILS adaptive recreation and spinal cord injury support,People with disabilities,People with disabilities; People with serious illness,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-uofu-st-george-mda-neurology-clinic,University of Utah Health St. George / Ivins MDA neuromuscular clinic,People with serious illness,People with serious illness; People with disabilities,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-utah-medicaid-dental-uusod-network,Utah Medicaid dental benefits and University of Utah School of Dentistry associated provider network,People with disabilities,People with disabilities; Seniors; Blind & low vision; People in recovery; Low-income households; Families with children; Children & teens,Yes,"Current coverage is broader than the historic carve-out, but the named populations and child-provider route remain included."
res-utah-assistive-technology-program-uatf,"Utah Assistive Technology Program and UATF financing, lending, reuse, and customization",People with disabilities,People with disabilities; Low-income households,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-ucat-assistive-technology-evaluations,Utah Center for Assistive Technology (UCAT) evaluations and device trials,People with disabilities; Caregivers,People with disabilities; Caregivers,No,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-utah-pasrr-nursing-facility-screening,Utah Preadmission Screening and Resident Review (PASRR),People with disabilities,People with disabilities; People with serious illness,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-utah-aps-vulnerable-adult-protection,Utah Adult Protective Services vulnerable adult reporting,Seniors; People with disabilities,Seniors; People with disabilities; Abuse & violence survivors,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-utah-dspd-acquired-brain-injury-waiver,Utah DSPD Acquired Brain Injury Waiver,People with disabilities,People with disabilities; People with serious illness; Low-income households; Caregivers,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-utah-medicaid-physical-disabilities-waiver,Utah Medicaid Physical Disabilities Waiver,People with disabilities,People with disabilities; Low-income households,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-utah-medicaid-epas,Utah Medicaid Employment-related Personal Assistant Services (EPAS),People with disabilities,People with disabilities; Low-income households,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-utah-medicaid-work-incentive-program,Utah Medicaid Work Incentive Program (MWI),People with disabilities,People with disabilities; Low-income households,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-utah-medicaid-technology-dependent-waiver,Utah Medicaid Technology Dependent Waiver,Children & teens; Young adults; Caregivers,Children & teens; Young adults; Caregivers; Families with children; People with disabilities; People with serious illness,Yes,"Waiver tests the applicant's income/assets, not household income; do not imply a low-income family requirement."
res-utah-medicaid-new-choices-waiver,Utah Medicaid New Choices Waiver,,People with disabilities; Low-income households,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-utah-dhhs-disabilities-ombuds,Utah DHHS Disabilities Ombuds / ADA Coordinator,People with disabilities,People with disabilities,No,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-utah-brain-injury-spinal-cord-injury-fund,Utah Brain Injury and Spinal Cord Injury Fund,People with disabilities; Caregivers,People with disabilities; Caregivers; People with serious illness; Low-income households; Uninsured & underinsured,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-utah-state-developmental-center-usdc,Utah State Developmental Center (USDC),People with disabilities,People with disabilities,No,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-utah-office-public-guardian,Utah Office of Public Guardian (OPG),,People with disabilities; Seniors; Abuse & violence survivors; People with serious illness,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-utah-medicaid-asd-related-services,Utah Medicaid Autism Spectrum Disorder (ASD) Related Services,People with disabilities,People with disabilities; Families with children; Children & teens; Low-income households,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-utah-dspd-limited-supports-waiver,Utah DSPD Limited Supports Waiver,People with disabilities,People with disabilities; Caregivers; Low-income households; People with serious illness,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-utah-dspd-self-administered-services-caregiver-compensation,Utah DSPD Self-Administered Services and Caregiver Compensation,Families with children; Caregivers,Families with children; Caregivers; People with disabilities,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-utah-dspd-community-supports-waiver,Utah DSPD Community Supports Waiver,People with disabilities,People with disabilities; Families with children; Children & teens; Caregivers; Low-income households,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-utah-dspd-community-transitions-waiver,Utah Medicaid Community Transitions Waiver and ICF Transition Program,People with disabilities,People with disabilities; Low-income households; Caregivers,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-utah-medicaid-state-plan-personal-care-services,Utah Medicaid State Plan Personal Care Services,,People with disabilities; Low-income households,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-udvma-southern-utah-vso-claims,Utah Department of Veterans and Military Affairs Southern Utah VSOs and DD-214 archive access,Veterans & military families,Veterans & military families,No,Eligible family/dependent households does not establish children in this military-record route.
res-southern-utah-veterans-home,Southern Utah Veterans Home,Veterans & military families; Families with children,Veterans & military families; People with disabilities; People with serious illness,Yes,Eligible spouses and Gold Star parents do not make this a families-with-children service.
res-utah-dds-disability-determination-services,Utah Disability Determination Services (DDS),People with disabilities,People with disabilities,No,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-utah-developmental-disabilities-council,Utah Developmental Disabilities Council advocacy and self-advocacy supports,People with disabilities,People with disabilities; Caregivers,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
