Category,Review priority,Resource,Reason,Question to resolve,Resource ID
Domestic Violence,Important specialized help,Dahlia's Hope trafficking survivor aftercare,"Review for this particular program or eligibility pathway: Utah trafficking-survivor aftercare nonprofit providing trauma-informed case management, clinical therapy, housing resources, medical/dental resources, education, vocational support, and life-skills services.",,res-dahlias-hope-trafficking-survivor-aftercare
Domestic Violence,Important specialized help,Department of Defense Safe Helpline,"Review for this particular program or eligibility pathway: Department of Defense confidential, anonymous 24/7 phone, chat, text, app, and resource-referral service for the DoD community affected by sexual assault.",,res-dod-safe-helpline
Domestic Violence,Additional options,Domestic Abuse Recovery Solutions Wellness Program,"Keep as a further option after establishing the starting routes in Domestic Violence: Statewide Utah non-emergency survivor recovery program offering domestic-abuse victim advocacy, case management, survivor mentoring, support groups, goal planning, and resource coordination.",,res-dars-wellness-program
Domestic Violence,Important specialized help,Fight Against Domestic Violence Flex Fund,"Review for this particular program or eligibility pathway: Statewide Utah survivor financial-assistance program providing up to $1,000 in flexible stabilization help for domestic-violence survivors working through advocates or case managers.",,res-fadv-flex-fund
Domestic Violence,Important specialized help,Fight Against Domestic Violence Housing First,"Review for this particular program or eligibility pathway: Statewide Utah domestic-violence survivor housing fund covering security deposits, application and background-check fees, rental and utility assistance, home repairs, mortgage assistance, and related housing barriers through….",,res-fadv-housing-first
Domestic Violence,Important specialized help,FreeFrom survivor financial safety programs,"Review for this particular program or eligibility pathway: National survivor-led financial-safety programs for survivors of gender-based violence, including flexible cash assistance, savings matching, financial coaching, and online survivor financial resources when cohorts are open.",,res-freefrom-survivor-financial-safety
Domestic Violence,Important specialized help,Holy Cross Ministries Legal Immigration Program,"Review for this particular program or eligibility pathway: Utah nonprofit legal immigration program offering low-cost or no-cost consultations and representation, including humanitarian relief, family reunification, citizenship, and immigrant-survivor matters, with phone/virtual….",,res-holy-cross-immigrant-survivor-legal
Domestic Violence,Important specialized help,Hurricane City Police Department Victim Services,"Review for this particular program or eligibility pathway: Hurricane City Police Department victim advocate support for victims of domestic violence, sexual assault, stalking, child abuse, harassment, and other crimes in Hurricane City.",,res-hurricane-police-victim-services
Domestic Violence,Important specialized help,Immigrant Legal Services immigration representation,"Review for this particular program or eligibility pathway: Utah nonprofit immigration legal-services provider offering low-bono/pro-bono representation and immigration-rights support for asylum, SIJS, family, citizenship, DACA, and victim/humanitarian cases.",,res-immigrant-legal-services-victim-immigration
Domestic Violence,Start here,Southwest Forensic Nursing medical-forensic exams at St. George and Hurricane emergency access points,"Clarify the local medical-forensic exam access route early, including timing and safe referral instructions.",,res-swfn-stgeorge-hurricane-forensic-access
Domestic Violence,Important specialized help,Santa Clara-Ivins Police Department Victim Advocates,Review for this particular program or eligibility pathway: Santa Clara-Ivins system-based victim advocate and Safe at Home enrollment access point for crime victims and survivors in the Santa Clara/Ivins area.,,res-ivins-santa-clara-victim-advocates
Domestic Violence,Additional options,Journey of Hope Utah survivor case management and social advocacy,"Keep as a further option after establishing the starting routes in Domestic Violence: Utah nonprofit providing trauma-informed case management, peer support, social advocacy, mentoring, basic-needs support, and intake for women, girls, LGBTQIA+ people, affected youth, and others fleeing domestic violence, sexual….",,res-journey-of-hope-utah-survivor-case-management
Domestic Violence,Important specialized help,Eastern Washington County Victim Services / La Verkin City Police Department,"Review for this particular program or eligibility pathway: UOVC-listed rural victim-services program based at La Verkin City Police Department, covering eastern Washington County towns with free mobile crisis intervention, safety planning, protective-order help, court advocacy, and….",,res-la-verkin-eastern-washington-victim-services
Domestic Violence,Start here,love is respect National Teen Dating Abuse Helpline,"Establish an age-appropriate dating-abuse support route, separate from adult-only programs.",,res-loveisrespect-teen-dating-abuse-helpline
Domestic Violence,Important specialized help,Mohave County Attorney Victim/Witness Program - Arizona Strip domestic-violence advocacy,"Review for this particular program or eligibility pathway: Mohave County Attorney Victim/Witness Program for Arizona crime victims, including a Domestic Violence Advocate and North Canyon Advocate for Arizona Strip cases near Colorado City/Short Creek.",,res-mohave-county-arizona-strip-victim-witness
Domestic Violence,Important specialized help,North Canyon Justice Court / Colorado City Arizona protective-order filing access,Review for this particular program or eligibility pathway: Arizona Strip court access point for Arizona Orders of Protection and Injunctions Against Harassment at North Canyon Justice Court/Colorado City court location.,,res-mohave-north-canyon-protection-orders
Domestic Violence,Start here,National Domestic Violence Hotline,Review national domestic-violence hotline access as a fallback when local contact is unavailable or unsafe.,,res-national-domestic-violence-hotline
Domestic Violence,Important specialized help,Operation Safe Escape security and technology-safety support,"Review for this particular program or eligibility pathway: National nonprofit providing free confidential security, technology-safety, communications, privacy, and escape-planning support for survivors of domestic violence, stalking, and harassment.",,res-operation-safe-escape
Domestic Violence,Additional options,PIK2AR Empowered Living Services survivor resources,"Keep as a further option after establishing the starting routes in Domestic Violence: PIK2AR culturally relevant social-services pathway offering resource requests, Community Health Worker support, peer supports, and documented domestic-violence survivor assistance.",,res-pik2ar-empowered-living-services
Domestic Violence,Additional options,PIK2AR K.A.V.A. Talks violence-prevention peer support,"Keep as a further option after establishing the starting routes in Domestic Violence: PIK2AR/K.A.V.A. Talks weekly violence-prevention, peer-support, education, and advocacy group rooted in Pacific Islander community practice, with online meeting access.",,res-pik2ar-kava-talks
Domestic Violence,Start here,U.S. National Human Trafficking Hotline,Establish the trafficking-specific contact route early; it addresses a high-consequence need that may not fit ordinary shelter intake.,,res-national-human-trafficking-hotline
Domestic Violence,Start here,RAINN National Sexual Assault Hotline,Establish sexual-assault support access and clarify how it connects someone to local help.,,res-rainn-national-sexual-assault-hotline
Domestic Violence,Important specialized help,RedRover Relief Safe Escape Grants,Review for this particular program or eligibility pathway: National grant program paying eligible pet boarding and related vaccination costs so families with pets can enter domestic-violence shelter safely.,,res-redrover-safe-escape-grants
Domestic Violence,Important specialized help,Restoring Ancestral Winds NTVHEAL Tribal DV/SA Helpline,"Review for this particular program or eligibility pathway: Utah tribal domestic-violence and sexual-assault helpline providing culturally responsive safety planning, risk assessment, peer support, and local referrals for Native survivors.",,res-restoring-ancestral-winds-ntvheal
Domestic Violence,Important specialized help,Ruff Haven Crisis Sheltering temporary pet care,"Review for this particular program or eligibility pathway: Utah crisis pet-sheltering program offering free temporary dog and cat care for pet owners in crises including domestic violence, with appointment-only Salt Lake City intake.",,res-ruff-haven-crisis-pet-sheltering
Domestic Violence,Start here,SafeUT Crisis Chat and Safety Tipline,Review the student/youth crisis contact route early and distinguish crisis chat from routine counseling.,,res-safeut-crisis-chat-tipline
Domestic Violence,Additional options,Short Creek Dream Center residential refuge and life-skills program,"Keep as a further option after establishing the starting routes in Domestic Violence: Faith-based Short Creek residential refuge and life-skills program for adults leaving abusive, oppressive, exploitative, trafficking-related, or high-control environments, with housing, counseling, meals, mentoring, and….",,res-short-creek-dream-center-residential-refuge
Domestic Violence,Additional options,Southern Utah Bar Association and Utah Legal Services Talk With an Attorney Clinic,"Keep as a further option after establishing the starting routes in Domestic Violence: Free civil and family-law consultation clinic in St. George presented by Utah Legal Services and the Southern Utah Bar Association, with eligibility screening and appointments encouraged.",,res-southern-utah-bar-talk-with-attorney-clinic
Domestic Violence,Important specialized help,Springdale Police Department Victim Services,"Review for this particular program or eligibility pathway: Springdale Police Department system-based victim-services access point for crime victims, including domestic-violence survivors needing safety planning, protective-order information, shelter information, case updates, and court….",,res-springdale-police-victim-services
Domestic Violence,Important specialized help,StrongHearts Native Helpline,"Review for this particular program or eligibility pathway: National free, anonymous, confidential Native-centered domestic and sexual violence helpline offering 24/7 phone, text, and chat advocacy for Native American and Alaska Native survivors and concerned relatives or friends.",,res-stronghearts-native-helpline
Domestic Violence,Important specialized help,The Network/La Red LGBTQ+ partner-abuse hotline and support,"Review for this particular program or eligibility pathway: Free, confidential 24-hour hotline and individual support access for LGBTQ+, kink, and polyamorous survivors of partner abuse, reachable nationally by toll-free phone.",,res-network-la-red-lgbtq-partner-abuse-hotline
Domestic Violence,Start here,The Trevor Project LGBTQ+ youth crisis support,Establish an LGBTQ+ youth crisis support route early; eligibility and accessible contact methods matter.,,res-the-trevor-project-lgbtq-youth-crisis
Domestic Violence,Start here,"Timpanogos Legal Center free hotline, online clinics, St. George clinic, and limited immigration legal advice","Review the hotline and local/online clinic entry points, including which case types each can actually handle.",,res-timpanogos-legal-center-hotline-clinics
Domestic Violence,Important specialized help,VA Salt Lake City Intimate Partner Violence Assistance Program (IPVAP),Review for this particular program or eligibility pathway: VA Intimate Partner Violence Assistance Program access through the VA Salt Lake City Health Care System for veterans and families impacted by relationship violence.,,res-va-salt-lake-ipvap
Domestic Violence,Important specialized help,USAC Lifeline Survivor Benefit under the Safe Connections Act,"Review for this particular program or eligibility pathway: Federal Lifeline Survivor Benefit providing temporary phone, internet, or bundled-service discount after qualifying Safe Connections Act line separation for survivors.",,res-usac-lifeline-survivor-benefit
Domestic Violence,Important specialized help,Utah Coalition Against Sexual Assault statewide sexual-assault helplines,"Review for this particular program or eligibility pathway: Statewide Utah sexual-assault helplines in English and Spanish, with advocate support, resource connection, and next-step help for survivors and loved ones.",,res-ucasa-statewide-sexual-assault-helplines
Domestic Violence,Start here,Utah Crime Victims Legal Clinic victim-rights and protection-order legal advocacy,Establish the victim-rights legal pathway and case screening before assuming a general attorney clinic can handle protection needs.,,res-utah-crime-victims-legal-clinic
Domestic Violence,Start here,Utah VINE victim notification service,Establish victim notification enrollment early; it serves a different safety function from counseling or representation.,,res-utah-vine-victim-notification
Domestic Violence,Additional options,Utah DHHS SUMH Victim Advocate,"Keep as a further option after establishing the starting routes in Domestic Violence: Statewide Utah DHHS/SUMH victim advocate support for crime victims involved with Board of Pardons and Parole hearings, including safety planning and protective-order/resource help.",,res-sumh-victim-advocate
Domestic Violence,Important specialized help,Utah DPS Sexual Assault Kit Tracking System and SAKI information access,Review for this particular program or eligibility pathway: Utah DPS sexual-assault kit tracking and SAKI victim-advocate contact for survivors who completed a forensic sexual-assault exam in Utah.,,res-utah-dps-sexual-assault-kit-tracking
Domestic Violence,Additional options,Utah DPS/SBI Victim Services crime-victim advocacy,"Keep as a further option after establishing the starting routes in Domestic Violence: Utah DPS/State Bureau of Investigation victim-services program providing crime-victim advocacy during DPS/SBI investigations, with resources for intimate partner violence, sexual assault, stalking, trafficking, and family….",,res-utah-dps-sbi-victim-services
Domestic Violence,Start here,Utah Domestic Violence Coalition 24-hour LINKLine,Review the statewide domestic-violence connection alongside local intake and national backup.,,res-udvc-linkline
Domestic Violence,Important specialized help,Utah Homicide Survivors pro-bono legal services after homicide,"Review for this particular program or eligibility pathway: Utah nonprofit providing pro-bono civil legal services for families after homicide, including probate, insurance, survivor benefits, victim compensation, guardianship, conservatorship, custody, termination of parental rights….",,res-utah-homicide-survivors-legal
Domestic Violence,Important specialized help,Utah Legal Services Native American Unit,"Review for this particular program or eligibility pathway: Utah Legal Services unit representing members of federally recognized tribes and their minor children in tribal and state civil legal matters, including protective orders and domestic-violence-related advocacy.",,res-utah-legal-services-native-american-unit
Domestic Violence,Additional options,Utah National Guard Service Member and Family Readiness / Family Assistance - St. George,"Keep as a further option after establishing the starting routes in Domestic Violence: Utah National Guard Service Member and Family Readiness access point in St. George offering Guard-connected military family support, resource navigation, emergency-assistance coordination, financial counseling/training, food….",,res-utah-national-guard-family-readiness-dv-advocacy
Domestic Violence,Important specialized help,Utah National Guard SAPR St. George Armory victim advocate,"Review for this particular program or eligibility pathway: Utah National Guard SAPR pathway with a St. George Armory victim advocate and 24/7 confidential support for eligible military-connected sexual-violence survivors, with safety planning and community-resource connection.",,res-utah-national-guard-sapr-st-george
Domestic Violence,Start here,Utah Safe at Home Address Confidentiality Program,Review address confidentiality enrollment and safe document handling early; ordinary address changes may create safety risks.,,res-utah-safe-at-home-address-confidentiality
Domestic Violence,Additional options,Utah State Bar Virtual Legal Clinic,Keep as a further option after establishing the starting routes in Domestic Violence: Free statewide Utah State Bar phone or email clinic providing up to 30 minutes of brief legal advice from a volunteer attorney for civil and other legal questions.,,res-utah-state-bar-virtual-legal-clinic
Domestic Violence,Start here,"Utah State Courts Fifth District St. George courthouse, juvenile court, protective-order, interpreter, and ADA access","Establish local court filing, protective-order, interpreter and accommodation access; distinguish courthouse services from legal advice.",,res-utah-state-courts-fifth-district-protective-order-filing
Domestic Violence,Important specialized help,"Utah Tech University Title IX supportive measures for dating violence, domestic violence, sexual assault, and stalking","Review for this particular program or eligibility pathway: Utah Tech Equal Opportunity and Title IX Office pathway for supportive measures after dating violence, domestic violence, sexual assault, stalking, discrimination, harassment or retaliation affecting campus access.",,res-utah-tech-title-ix-supportive-measures
Domestic Violence,Important specialized help,Utah Tech University Police Victim-Survivor Advocacy,"Review for this particular program or eligibility pathway: Utah Tech University Police system-based victim-survivor advocacy for campus-connected survivors, including reporting support, safety planning, protective-order help, victim-rights information, referrals, and DOVE Center….",,res-utah-tech-police-victim-survivor-advocacy
Domestic Violence,Additional options,Voices for Dignity survivor support,"Keep as a further option after establishing the starting routes in Domestic Violence: Hildale-based survivor-support nonprofit helping people affected by human trafficking, exploitation, humiliation, stigma and related trauma with dignity-focused survival/stability, healing, empowerment and housing-security….",,res-voices-for-dignity-survivor-support
Domestic Violence,Important specialized help,Washington City Police Department Victim Services Program,"Review for this particular program or eligibility pathway: Washington City Police Department victim-services program providing free confidential support for crime victims and witnesses, including crisis intervention, referrals, police/prosecutor liaison, court support, protective-order….",,res-washington-city-police-victim-services
Domestic Violence,Start here,Washington County Attorney Victim Assistance Program,"Review the county prosecutor's victim-assistance route, including the case connection required for help.",,res-washington-county-attorney-victim-assistance
Domestic Violence,Start here,Washington County Sheriff's Office Victim Services and protective-order service access,Clarify protective-order service and county victim-services contact procedures early.,,res-washington-county-sheriff-victim-services
Domestic Violence,Important specialized help,HUD Office of Fair Housing and Equal Opportunity complaint intake,"Review for this particular program or eligibility pathway: Federal HUD Office of Fair Housing and Equal Opportunity intake for housing-discrimination, HUD-program civil-rights, and VAWA housing-rights complaints.",,res-hud-fheo-housing-discrimination-complaints
Domestic Violence,Important specialized help,Utah State Courts MyPaperwork / Online Court Assistance Program transition,Review for this particular program or eligibility pathway: Utah Courts MyPaperwork and remaining OCAP/self-help form pathway for self-represented litigants preparing selected Utah court documents.,,res-utah-courts-mypaperwork-ocap
Education,Important specialized help,Boys & Girls Clubs of Utah County/Southern Utah Washington County school-site programs,"Review for this particular program or eligibility pathway: Boys & Girls Clubs of Utah County/Southern Utah school-site afterschool and summer programs at Washington County elementary schools, with homework support, enrichment, financial assistance, and snacks/meals at enrolled sites.",,res-bgcutah-washington-county
Education,Important specialized help,Millcreek High School student-parent child care pathway,"Review for this particular program or eligibility pathway: Washington County School District alternative high school pathway with child-care staff, serving as a narrow school-retention support lead for enrolled student parents.",,res-millcreek-high-student-parent-childcare
Education,Start here,Root for Kids Early Head Start,"Establish local early-childhood enrollment and family-support access, including age/income rules and waitlists.",,res-root-for-kids-early-head-start
Education,Important specialized help,Root for Kids Early Intervention / Baby Watch local provider,"Review for this particular program or eligibility pathway: Root for Kids early intervention provider for infants and toddlers birth to age 3 with developmental delays or disabilities in the St. George/Washington County area, including free evaluations, therapies, audiology/hearing….",,res-root-for-kids-early-intervention-baby-watch
Education,Important specialized help,"Red Rock Center for Independence independent living, disability supports, and limited activity transportation","Review for this particular program or eligibility pathway: Center for Independent Living in St. George serving all ages and disability types with no-cost core independent-living services, nursing-home transition/diversion, youth transition, peer support, advocacy, assistive technology….",,res-red-rock-center-independence-youth-disability-supports
Education,Important specialized help,"RISE Services St. George child, adult, and aging-adult disability supports","Review for this particular program or eligibility pathway: St. George disability services including youth after-school/summer programs, respite, supported living, host homes, professional parenting, employment, and behavior support.",,res-rise-services-st-george-child-youth-disability-supports
Education,Start here,Southern Utah University Head Start Preschool - Washington County centers,"Establish the local Head Start application pathway, including age/income rules, sites and current placement availability.",,res-suu-head-start-washington-county
Education,Important specialized help,"TURN Community Services St. George disability services, residential supports, educational day supports, supported employment, and embedded transportation","Review for this particular program or eligibility pathway: TURN Community Services St. George disability-services provider for adults with intellectual/developmental disabilities, related conditions, or acquired brain injury, including day, residential, semi-independent living….",,res-turn-community-services-st-george-family-support-respite
Education,Important specialized help,Utah Schools for the Deaf and the Blind Parent Infant Program - Southern Utah access,"Review for this particular program or eligibility pathway: Free USDB Parent Infant Program early-intervention and family coaching for birth-to-3 children who are deaf, hard of hearing, blind, low vision, or deafblind, coordinated with Baby Watch and statewide outreach.",,res-usdb-parent-infant-program-southern-utah
Education,Additional options,USU Extension Create Better Health nutrition education - Washington County access,"Keep as a further option after establishing the starting routes in Education: Free USU Extension Create Better Health nutrition education hub and online/Zoom classes teaching budget-friendly healthy eating, menu planning, recipe demos, and food-resource connection for Utah families and adult learners.",,res-usu-extension-create-better-health
Education,Important specialized help,"Utah Tech University Student Resource Center student support, basic-needs, advocacy, and student legal clinic","Review for this particular program or eligibility pathway: Utah Tech Student Resource Center student-support hub offering academic coaching, mentoring, case management/resource navigation, student-family supports, Blazer Food Pantry groceries and essentials, Come & Get It free-food….",,res-utah-tech-student-resource-center-student-parents
Education,Additional options,"Washington County Library 1,000 Books Before Kindergarten and St. George story times","Keep as a further option after establishing the starting routes in Education: Free Washington County Library early-literacy support, including 1,000 Books Before Kindergarten and branch children's story-time access.",,res-washington-county-library-early-literacy
Education,Start here,Washington County School District At-Risk Support Services / McKinney-Vento student supports and school transportation,Establish the school homelessness liaison route early; school access and transportation can be available even without stable housing.,,res-wcsd-at-risk-mckinney-vento
Education,Start here,Washington County School District Child Find and Early Childhood Special Education Preschool,Establish preschool disability evaluation/Child Find access before selecting individual therapy providers.,,res-wcsd-child-find-special-education-preschool
Education,Start here,Washington County School District District Preschool,Establish district preschool enrollment alongside income-targeted preschool options.,,res-wcsd-district-preschool
Education,Additional options,Washington County School District Title I Family Centers,"Keep as a further option after establishing the starting routes in Education: WCSD Title I Family Centers offering parent education, English classes, school-success classes, technology help, and checkout of children's educational materials.",,res-wcsd-title-i-family-centers
Education,Additional options,Waterford Upstart Washington County at-home kindergarten-readiness program and technology support,"Keep as a further option after establishing the starting routes in Education: At-home Waterford Upstart early-learning program for Washington County pre-kindergarten children, with reading, math, science lessons, family coaching, and computer/internet support for qualifying families who need basic….",,res-waterford-upstart-washington-county
Education,Start here,"Utah DWS St. George career, education, and supportive services",Establish the public workforce intake and eligibility for training/supportive services before individual job-training alternatives.,,res-utah-dws-st-george-work-clothing-supportive-services
Education,Start here,"Utah State Office of Rehabilitation Vocational Rehabilitation - St. George employment, training, restoration, and transportation supports",Establish vocational rehabilitation intake before selecting disability employment providers or requesting funded supports.,,res-usor-vr-st-george-employment-supports
Education,Important specialized help,Children First Education Fund Carson Smith Opportunity Scholarship,Review for this particular program or eligibility pathway: State-contracted scholarship-granting organization administering the Carson Smith Opportunity Scholarship for Utah K-12 students with qualifying disabilities.,,res-children-first-csos
Education,Important specialized help,Children of Hope Academy special-needs school and parent support,"Review for this particular program or eligibility pathway: Small St. George nonprofit school/community program for students with special needs, using individualized developmental education and parent/community support.",,res-children-of-hope-academy
Education,Important specialized help,Deseret Industries St. George job training and development program,"Review for this particular program or eligibility pathway: Paid employment-training pathway at the St. George Deseret Industries store, with job coaching, development counseling, workplace skill-building, and education or vocational supports for people facing employment barriers.",,res-deseret-industries-st-george-job-training
Education,Important specialized help,Easterseals-Goodwill Northern Rocky Mountain SCSEP - St. George,"Review for this particular program or eligibility pathway: Easterseals-Goodwill SCSEP paid community-service work experience, online skills courses, and job-search support for low-income unemployed older adults, with federal priority including people with disabilities.",,res-easterseals-goodwill-scsep-st-george
Education,Additional options,National Association for Child Development St. George evaluations and home program coaching,"Keep as a further option after establishing the starting routes in Education: In-person St. George evaluations and remote coaching for individualized home developmental, learning, and neurodevelopmental programs for children and adults.",,res-nacd-st-george-evaluations
Education,Additional options,"Southwest Behavioral Health Center Elev8 Clubhouse, adult skills, education support, and supported employment","Keep as a further option after establishing the starting routes in Education: Southwest Behavioral Health Center's Elev8 Clubhouse/adult skills development program for adults in mental-health recovery, with psychosocial rehabilitation, transportation for clients, low-cost lunch, transitional and supported….",,res-sbhc-elev8-clubhouse-adult-skills-supported-employment
Education,Additional options,Sunrise Oasis Academy of Reading dyslexia microschool,"Keep as a further option after establishing the starting routes in Education: Independent St. George microschool for children with dyslexia and related language-based learning differences, using structured literacy and individualized learning plans.",,res-sunrise-oasis-academy-reading-dyslexia-microschool
Education,Additional options,TechieForLife / NeuroDev Mentoring Belong to Become program,"Keep as a further option after establishing the starting routes in Education: Private St. George mentoring, vocational-school, and college-living program for autistic and neurodivergent young adults working toward independent living, education, and career goals.",,res-techieforlife-neurodev-mentoring-st-george
Education,Important specialized help,Utah Department of Veterans and Military Affairs Southern Utah VSOs and DD-214 archive access,"Review for this particular program or eligibility pathway: Utah Department of Veterans and Military Affairs Southern Utah Veteran Service Officers provide free accredited benefits help, DD-214 archive routing for Utah home-of-record cases, and military-record navigation for veterans and….",,res-udvma-southern-utah-vso-claims
Education,Start here,"Utah DSBVI St. George vocational rehabilitation, blind services, and skills training",Establish the local blind/low-vision employment and rehabilitation access route separately from general vocational services.,,res-utah-dsbvi-st-george-vocational-rehabilitation
Education,Important specialized help,"Utah DSDHH Southern Utah Program / Southern Center case management, benefits access, classes, and senior events","Review for this particular program or eligibility pathway: State Division of Services of the Deaf and Hard of Hearing Southern Utah Program/Southern Center offering free St. George case management, benefits navigation, housing-application help, employment support, classes….",,res-utah-dsdhh-southern-center-case-management
Education,Start here,Utah Parent Center PTI Parent Consultants and special education rights navigation,Establish special-education rights navigation and IEP support before families have to pursue formal disputes.,,res-utah-parent-center-pti-special-education-support
Education,Start here,Utah Schools for the Deaf and the Blind Southern Utah School of the Deaf and outreach,Establish the Southern Utah Deaf education/outreach route and how it coordinates with a child's school.,,res-usdb-southern-utah-school-of-the-deaf
Education,Important specialized help,Utah State Board of Education Carson Smith Special Needs Scholarship,Review for this particular program or eligibility pathway: USBE-administered legacy Carson Smith Scholarship funding pathway for eligible Utah students with disabilities attending participating private schools.,,res-utah-usbe-carson-smith-scholarship
Education,Important specialized help,Utah State Library Program for the Blind and Disabled,"Review for this particular program or eligibility pathway: Free Utah State Library/NLS braille, talking-book, large-print, equipment-loan and download library service for Utah residents with qualifying print disabilities, usable from St. George by mail and online.",,res-utah-state-library-blind-disabled
Education,Start here,Utah State Office of Rehabilitation Pre-Employment Transition Services,Review school-to-work transition supports early because eligibility and referral timing are age-sensitive.,,res-usor-pre-employment-transition-services
Education,Start here,Utah Tech University Accessibility and Disability Center,Review the university disability-accommodation intake and documentation requirements before relying on individual classroom supports.,,res-utah-tech-accessibility-disability-center
Education,Start here,Utah Tech University UT Elevated,Review the university transition pathway for students with intellectual disabilities; it addresses a distinct higher-education access gap.,,res-utah-tech-ut-elevated
Education,Additional options,VERSE virtual structured literacy for dyslexia and learning differences,"Keep as a further option after establishing the starting routes in Education: St. George-based virtual structured-literacy program providing online reading, spelling, writing, and related tutoring for learners with dyslexia and learning differences.",,res-verse-structured-literacy
Education,Important specialized help,Washington County School District Augmentative and Assistive Technology Team,"Review for this particular program or eligibility pathway: Local WCSD school-based augmentative and assistive technology pathway providing individualized AT assessments, trials, training, coaching, and device management for students with disabilities.",,res-wcsd-augmentative-assistive-technology
Education,Important specialized help,Washington County School District Post High Transition Program,"Review for this particular program or eligibility pathway: WCSD community-based transition program providing special education services for eligible students with disabilities as they prepare for independence, employment, community participation, and adult living.",,res-wcsd-post-high-transition-program
Education,Important specialized help,AAUW St. George Branch graduate scholarships for Utah Tech students,"Review for this particular program or eligibility pathway: Local AAUW St. George scholarship program supporting Utah Tech University graduate students in selected programs, with annual-cycle details requiring confirmation before referral.",,res-aauw-stgeorge-graduate-scholarships
Education,Important specialized help,American Indian Services college and trade school scholarships,Review for this particular program or eligibility pathway: National Native student scholarship nonprofit with college and trade/vocational scholarship pathways usable by eligible St. George-area students attending accredited schools.,,res-american-indian-services-scholarships
Education,Important specialized help,Associated General Contractors of Utah construction apprenticeships,"Review for this particular program or eligibility pathway: AGC of Utah Department of Labor-approved construction apprenticeship sponsor for participating member employers, with related instruction and nationally recognized completion credentials.",,res-agc-utah-construction-apprenticeships
Education,Additional options,"AGC of Utah St. George contractor pre-licensure, flagger, and traffic-control training","Keep as a further option after establishing the starting routes in Education: AGC of Utah Southern Utah training center offering St. George contractor pre-licensure, business-law test preparation, flagger certification, and traffic-control technician/supervisor classes relevant to construction employment….",,res-agc-utah-contractor-prelicensure-ce-stgeorge
Education,Important specialized help,BYU-Pathway Worldwide PathwayConnect and online certificates/degrees,"Review for this particular program or eligibility pathway: Low-cost, faith-based online PathwayConnect, certificate, and degree access through BYU-Pathway Worldwide, BYU-Idaho, and Ensign College.",,res-byu-pathway-worldwide-online-certificates
Education,Additional options,Care About Childcare - Five County provider training and Utah Career Ladder support,"Keep as a further option after establishing the starting routes in Education: Southern Utah child-care resource agency provider-training access point for early childhood/youth workforce Career Ladder, CDA support, professional development, licensing training and related scholarships.",,res-care-about-childcare-fivecounty-provider-training
Education,Additional options,City of St. George Firefighter Recruit Academy,Keep as a further option after establishing the starting routes in Education: City fire department reserve/part-time recruit academy pathway that provides required firefighter and hazardous-materials certifications to selected applicants.,,res-stgeorge-firefighter-recruit-academy
Education,Additional options,City of St. George Recreation First Aid / CPR / AED certification course,Keep as a further option after establishing the starting routes in Education: City recreation American Red Cross Adult and Pediatric First Aid/CPR/AED blended certification course.,,res-stgeorge-rec-first-aid-cpr-aed
Education,Important specialized help,Compudopt St. George computer giveaway and internet support,Review for this particular program or eligibility pathway: Compudopt St. George free computer giveaway registration and free or low-cost internet support for households without a working home computer.,,res-compudopt-stgeorge-computer-giveaway
Education,Start here,Dixie Technical College accredited career training programs,"Establish the local technical-college training intake and how to explore costs, aid and suitable programs.",,res-dixie-tech-career-training
Education,Additional options,Dixie Technical College Custom Fit employer training,"Keep as a further option after establishing the starting routes in Education: State-funded employer-mediated workforce training program housed at Dixie Tech, helping qualifying Washington County businesses train current employees with partial reimbursement.",,res-dixie-tech-custom-fit
Education,Start here,Dixie Technical College financial aid and scholarships,Review technical-college financial aid before recommending enrollment with unaffordable costs.,,res-dixie-tech-financial-aid-scholarships
Education,Start here,EnglishConnect community English classes and online EnglishConnect 3,Establish a community English-learning pathway alongside public adult ESL; confirm current local classes and level fit.,,res-englishconnect-community-english-classes
Education,Additional options,Evans Hairstyling College St. George cosmetology certificate program,"Keep as a further option after establishing the starting routes in Education: St. George cosmetology school offering cosmetology certification training with Pell Grant eligibility for qualifying students, student loans, and an institutional scholarship application.",,res-evans-hairstyling-college-st-george
Education,Additional options,Intermountain Health caregiver education assistance and PEAK tuition benefit,"Keep as a further option after establishing the starting routes in Education: Intermountain Health employee education-assistance benefit for eligible caregivers, including annual education assistance, traditional tuition reimbursement, PEAK upfront tuition and debt-free degree partnerships.",,res-intermountain-health-education-assistance
Education,Start here,Job Corps MyJobCorps admissions and Clearfield Job Corps Center,Review the residential youth job-training application route and its age/eligibility rules; it differs from local short courses.,,res-job-corps-utah-clearfield-admissions
Education,Additional options,LearnKey Upskill Academy online certification pathways,"Keep as a further option after establishing the starting routes in Education: Commercial Utah-registered online training provider offering short-term Upskill Academy certification pathways in IT, cybersecurity, office administration, allied health, paralegal, business and related fields.",,res-learnkey-upskill-academy
Education,Important specialized help,my529 Olene S. Walker Transition to Adult Living Scholarship,"Review for this particular program or eligibility pathway: Statewide Olene S. Walker Transition to Adult Living Scholarship supporting eligible young people leaving Utah foster care or the Unaccompanied Refugee Minors Program to complete college, graduate study, or trade/certificate….",,res-my529-tal-scholarship
